text,label
"দিহান আনুশকার ঘটনার নতৃন মোড়, দিহান কি ঔষধ সেবন করেছিল বললেন ডাক্তার। ",Personal
আমরা কি মুসলমান? আর কি দিয়ে প্রমান করতে হবে যে আওয়ামীলীগ ইসলামের দুশমন। ,Religious
ডিবি পরিচেয়ে তুলে নেয়ার পর বাঁশবাগানে যুবকের লাশ। ,Personal
"২০৫০ সালে বিলুপ্ত হয়ে যাবে, এমন কিছূ প্রাণীর নাম বলো তো। মামা, চাচা, খালা, ফুফু ইত্যাদি, কারণ সবাই এখন একটার বেশি সন্তান নিচ্ছে না। ",Neutral
"দিয়েছেন অনেক, প্রতিদানে এবার ভারতের সহযোগিতা চান শেখ হাসিনা। ",Geopolitical
কৃত্রিম যৌনাঙ্গ ব্যবহারের কারনেই নিচের দুই অংশ ক্ষত বীক্ষত হয় আনুশকার। ,Personal
ফেসবুকে বিবাহ সংক্রান্ত এই পোস্ট দেখে মায়ের সাথে শেয়ার করার পর এখন আমি এক কানে কম শুনি। ,Neutral
"জীবন হচ্ছে, মৃত্যুর কাছ থেকে ধার নেয়া কিছুটা সময়। ",Neutral
ঐ তুই শুধু আমার। তুই আর কারও হতে পারবি না। ,Neutral
পাকিস্তান ভারতের শত্রু তাদের সেনা পাকিস্তানের হাতে ধরা পরার পর তারা যেভাবে ফেরত দেয়। আর ভারত আমাদের বন্ধু আমাদেও সেনা ভারতের হাতে ধরা পরার পর তারা যেভাবে ফেরত দেয়। ,Geopolitical
ইউএনওর উপস্থিতি টের পেয়ে বাসর ঘর রেখে পালালো নবদম্পত্তি। ,Neutral
মোদিকে হুশিয়ারি এরদোগানের। এবার আর রক্ষা নেই ভারতের। ,Geopolitical
কিপ্টামির জন্য যদি কেউ নোবেল পেত তাহলে তোমার কোন বন্ধু পেতো? ,Neutral
যুদ্ধ যখন অনিবার্য। ভারত পাকিস্তানের মধ্যে চরম উত্তেজনা বিরাজমান। ,Geopolitical
হতচ্ছাড়া টা যে কোথায় গেলো?,Neutral
নেপালে ভারতীয় সব টিভি চ্যানেল বন্ধ । ,Geopolitical
সীমান্ত হত্যা বন্ধের দাবীতে প্রতিকী লাশ নিয়ে ঢাকা থেকে কুড়িগ্রামের অনন্তপুর হেটে যাত্রা।  ,Geopolitical
"হাথরস গণধর্ষণ, আজ ভারতের নিই নর্মাল। ",Geopolitical
ঐদিন রুমে আনুশকার সাথে যা যা করেছিল জানালো দিহান। ,Personal
গণহত্যার পুনরাবৃত্তি দেখতে নৌকায় ভোট দিন। ,Geopolitical
এই লোকটা তোদের বাবার খুনি! একে তোর ছাড়বি না। ,Personal
"করোনা মহামারি, স্বাস্থ্য সেবা। চাল চোর, তেল চোর রাজনীতি ও পরিকল্পনা নিয়ে খোলামেলা কথা। ",Personal
"ভারতের সাথে প্রতিরক্ষা চুক্তি, শেয়ালের কাছে মুরগী বর্গা দেয়ার সামিল। ",Personal
বুঝতে পারলে খুঁজতে চাইবে। না বুঝতে পারলে কিছু ই না। ,Neutral
"ঈদ এর বখশিসে পাওয়া ১০০ টাকার নোটকে ভেঙে ১০ টি ১০ টাকার নোট নেওয়ার পর আমি, আমি বড়লোক হয়ে গেছি আমার কাছে বেশি টাকা। ",Neutral
রাজাকার এখন মুক্তিযোদ্ধা। রাজাকার মুক্তিযোদ্ধা এখন একাকার। ,Political
সানডে মানডে গোসল করাইয়া দিমু। সানডে মানডে ক্লোজ কইরা দিমু। ,Personal
"জীবনে অনেক বড়ো হতে হবে, কিন্তু কি যে করি? খালি ঘুম পায়। ",Neutral
"আজ গোসল করব না, গোসল না করে কই যাস। ",Neutral
কি করছো দিহান? আমার লাগছে। আমিতো মরে যাবো আর পারছি না। ,Personal
"কি এক বিপদে পড়লাম, কোনো কিছু নড়লেই মনে হয় ভুমিকম্প হইতেছে। ",Neutral
আমৃত্যু কারাদন্ডাদেশ প্রাপ্ত রাজাকার সাঈদীর মুক্তি নয় ফাঁসি কার্যকর দেখতে চায় দেশব্যাপী। ,Political
সারাদিন বাসায় থেকে আম্মুর হাতের তিন বেলা রান্না খাওয়ার পর এবং সারাদিন বাহিরে  ঘরাঘুরি করে রেস্টুরেন্টের বিভিন্ন ধরনের খাবার খাওয়ার পর আমি। ,Neutral
"দারোয়ান, বন্ধু, মা এবং বান্ধবী সবাই ফাঁস করলেন অজানা গোপন তথ্য। ",Personal
"মহাফাঁদে মুসলিম বিশ^ , ৯/১১ পরবর্তী যু্দ্ধে ৩ কোটি ২০ লাখ মুসলমানের প্রাণ নিভে গেছে। ",Geopolitical
"বন্ধু যখন তার কাকু কে বলে, তাতে আমার কোনো বাল্ডাও ছেরা যাবে না। ",Personal
"যখন স্বামী বলে বাচ্চাদের অন্যরুমে ঘুমাই দেও, তোমার জন্য চকলেট আনছি।",Neutral
হোলির দিন ক্রিকেট খেলায় মুসলিম পরিবারকে বেধড়ক পিটুনি।,Religious
"জঙ্গিবাদ, সন্ত্রাসবাদ ও ধর্মব্যবসায়ের বিপক্ষে লোকদেখানো সমালোচনা করে এখন জঙ্গী তকমা ঢাকার কুট কৌশলে ব্যস্ত জঙ্গী দল হিযবুত তাওহীদ। ",Personal
"বিএনপি কর্মীদের ধরে প্রথমে পায়ে, পরে বুকে গুলি করুন। ",Political
উপকার করলে শরীরের ছাল থাকে না। অর্জুন গাছটাই তার বড় প্রমাণ। ,Neutral
"নিজের নামের বানান নিজে ভুল করার পর, আরো ফোন টিপ শালা। ",Neutral
ক্লাসে ভালো গান পারো কেউ? জি¦ স্যার বল্টু পারে। তখন বল্টুর অবস্থা। ,Neutral
যে নিজে চলতে সক্ষম নয় সে কিভাবে অন্যকে খুন করে? পুলিশের অত্যাচারেই আমার সন্তান মারা গেছে। ,Personal
যখন মাস্ক পরে শিশ বাজানোর পর দেখি পাশের এক মহিলা আরেকজনকে গালি দিচ্ছে।,Neutral
আর কত সহ্য করবো হে বিধাতা। ,Personal
উত্তর চব্বিশ পরগনাতে এভাবে কেন খুন তৃণমূল নেতা? ,Political
"মেনশন করুন তাকে, যাকে আপনি পাবনা মানসিক হাসপাতালে ভর্তি করাতে চান। ",Neutral
স্ত্রী-শালিকাকে হত্যার অভিযোগে রাজধানীতে আটক স্বামী। ,Personal
"একটু পর যখন জীনকে জিজ্ঞেস করি, এই ব্যাটা জীন, তুই ছেলে না মেয়ে? ",Neutral
ফেইক আইডি দিয়ে বন্ধুকে প্রেমে ফেলে যখন তা সবার সামনে খোলাসা করি । ,Neutral
দেশটা কি ফেরআউনী রাষ্ট্র হয়ে গেল? কয়দিন পর হয়ত স্বামী-স্ত্রী একসাথে দেখলে নাশকতার অভিযোগে গ্রেফতার করা হবে।,Geopolitical
"যখন দেখি রুপা এখনো হিমুকে ভুলতে পারে নাই, তখন আমি, তুই এখনো বালডারে ভুলস নাই! ",Personal
ইংরেজি পরীক্ষায় ৩৩ না পাওয়া ছাত্র-ছাত্রীগণ যখন ফেসবুকে ইংরেজিতে বড় বড় ক্যাপশন দেয়। ,Neutral
বাংলাদেশ সীমান্তে নিরীহ মানুষ হত্যার প্রতিবাদে কালো পতাকা দিবস। ,Geopolitical
"পরীক্ষা দিয়ে বেরোনো ছাত্র আর অপারেশন করে বেরোনো ডাক্তার দুজনের বক্তবই এক, ভালো হয়েছে তবে এখন কিছু বলা যাচ্ছে না। ",Neutral
গরীব দেশগুলো নিজের ইচ্ছামত টাকা প্রিন্ট করে নিয়ে বড়লোক হয়ে যায় না কেন? টাকা প্রিন্ট করার টাকা নেই বলে। ,Neutral
"নোয়াখালী কলেজের ছাত্র,  এমনই ট্যালেন্ট হয়। ",Neutral
"কপালে বন্ধুক ধরে যদি বলা হয় একটাই ফোন করতে পারবি ফোন রিসিভ হলে মৃত্যু, মেনশন করুন যাকে ফোন করবেন। ",Personal
"আমি নরেন্দ্র মোদি, কাজ করছি চায়না-মাল নিয়ে। ",Neutral
একাউন্টিং পইড়া কি শিখলি বাবা? অহন আমি স্কেল ছাড়াই মার্জিন দেবার পারি।,Neutral
মা দুই টাকা দেও। বেকারদের বর্তমান চাহিদা এটাই। ,Neutral
"অনলাইন ক্লাসে স্যার যখন বলে এখন পড়া ধরব, তার ০.০০৫ সেকেন্ড পর আমি। ",Neutral
"হযরত মোহাম্মদ (সাঃ) কে নিয়ে ব্যঙ্গচিত্র ও আল্লাহর ঘর পবিত্র কারা শরীফকে অবমাননা করায়, শ্রী টিটু রায় এর ফাঁসি চাই দিতে হবে। ",Religious
"অবশেষে ক্ষমা চাইল জিয়াউল হাসান, কাবাকে ভাস্কর্য বলায় তিনি ক্ষমা চেয়েছেন। ",Religious
ভেবেছিলাম কম্বল এর সাথে ব্রেকআপ করে ফ্যান এর সাথে রিলেশন করবো কিন্তু এখন দেখি ছাতা আমাকে প্রোপোজ করছে। ,Neutral
"মেয়েটাকে তারা বাঁচতে দিল না, মেয়েটাকে ওরা মেরেই ছাড়ল। ",Personal
খুনি জিয়ার তত্ত্বাবধানে সংগঠিত জেল হত্যাকান্ড। খুনিদের পুরস্কার হিসেবে পাঠানো হয় বিভিন্ত দূতাবাসে চাকরিতে।,Geopolitical
"অনেক্ষন ভাবার পর লে আমি, না না এবার আর কম্বল এর তল থেইকা বার হমু না কি হবে দেখা যাবে। ",Neutral
"অন্যরা আমার বোনকে যেভাবে দেখে, আর আমি আমার বোনকে যেভাবে দেখি। ",Neutral
"মাস্ক পড়ার সবচেয়ে বড় সুবিধা হল, এটা  আমার বিশ্রী মুখ ঢাকতে সাহায্য করে|",Neutral
দুর্নীতিবাজ পুলিশ দিয়ে অভিযানের নামে সাধারণ মানুষকেই হয়রানি করা হবে। ,Personal
সবগুলোকে আজকে ভবের পিডান পিডামু। ,Personal
"বাংলাদেশ একটি ৫৪ হাজার বর্গমাইলের কারাগার, বাকশালীদের কারণে দেশের স্বাধীনতা বলতে কিছু নাই। ",Geopolitical
তিন তালাক কতটা যুক্তিযুক্ত? এটা ধর্মের বিধান নিয়ে কথা বলার শামিল। ,Religious
সকালে ঘুম ভাঙার পর ছেলেদের লিঙ্গ দাড়িয়ে থাকার কারণ। ,Personal
"বাড়িতে বসে থাকতে থাকতে , কলা যখন শিল্প কলা হয়ে যাবে ধরতে পারবেন না। ",Neutral
ব্রাজিল নিয়ে কিছু বললে কান টাইনা ছিড়া ফালামু। ,Personal
সাইকেলের চেইন ঠিক করে ছোট ভাই কে সাহায্য করার পর। ,Neutral
"দুজন মিলে নবীজীর দেশে আসছি, কারণ আমি ওর ট্যাগ লিস্টেও প্রথমে ছিলাম। ",Neutral
দশ বছরে বিএসএফের গুলিতে ৩ শতাধিক বাংলাদেশি নিহত। ,Geopolitical
"সরকারি চাকরি আর সত্যিকারের ভালোবাসা, কখনো যোগ্য লোকেরা পায় না। ",Neutral
"চারিদিকে একই সুর, হাসিনা তুই ভোট চোর। ",Geopolitical
আমাদের প্রিয় ভূমি এভাবে খন্ডিত না দেখতে চাইলে এখনই সময় রুখে দাঁড়াবার। ,Geopolitical
"জানি জুতার বারি খাবো, তবুও শেষ চেষ্টা করতে হবে। ",Personal
বাবরি মসজিদ ধ্বংসের ২৬ বছর পুর্তি। ,Religious
"হত্যা মামলার তদন্তে রং মাখানো চেষ্টায় মরিয়া পুলিশ, অশিক্ষিত মাজারের খাদেমকে ধরে সাবেক শিবির কর্মী বলে প্রচার। ",Geopolitical
বলুন দেখি ভুমি কম্প মাপার যন্ত্রের নাম কি? ,Neutral
আমার তো হোগা মারা শ্যাষ। আমি এখন আমি কি করমু? ,Personal
"লিটন ভাইয়ের দুধের আইসক্রীম, কিসের দুধ ?",Neutral
"সালাহ উদ্দিন বলছিলেন, আমি কিন্তু বাংলাদেশে মন্ত্রী ছিলাম। কিন্তু কেউ বিশ^াস করেনি।",Geopolitical
"গালি দিচ্ছো, নাকি আসলেই করবা? চুদলে আইসো রাতের বেলা।",Personal
কুলাঙ্গার নিক্সন চৌধুরী আলেমদের কে বলে আসেন খেলা হবে। ,Personal
শান্তিতে বসে থাকা হিমু আর রুপার চরিত্র খারাপ এটা বারবার মনে করিয়ে দেয়া ভাইয়া। ,Neutral
"দুধে-ব্রা পরে সাজুর নতুন চমক, সাজুকে হিজরা মাদারচোদদের মতো মনে হয়। ",Personal
আত্মগোপনে যুবলীগ-ছাত্রলীগ। শালা কুত্তালীগের জন্য কিছূ করার নাই। ,Political
ওরাই আবরারের খুনি। ওদের ফাঁসি কার্যকর করতে হবে।,Personal
আপনি জাহান্নামে যেতে পারেন। এই তুই কী বললি? সাহস থাকলে আবার বল। ,Personal
"সৎ সঙ্গে বিরিয়ানি, অসৎ সঙ্গে বিড়িটানি। ",Neutral
"এইচ এস সি পরীক্ষার রেজাল্ট দেয়ার পর মিষ্টি ব্যবসায়ী,পরীক্ষার্থী ও শিক্ষা মন্ত্রনালয়ের অবস্থা। ",Neutral
"করোনা বিবাহ, সব ঠিক আছে কিন্তু ফুলসজ্জাটা কিভাবে হবে শুনি? ",Neutral
মেয়েদের সেক্স উঠলে কিভাবে বুঝবেন? ৫ টি গোপন কথা জেনে নিন। ,Personal
